============================================================
INFORMATION RETRIEVAL EVALUATION REPORT
Mean Average Precision (MAP) Analysis
============================================================

Collection size: 1460 documents
Queries evaluated: 76

------------------------------------------------------------
OVERALL RESULTS
------------------------------------------------------------
MAP (Original Queries) : 0.1791
MAP (Expanded Queries) : 0.1791
Change                 : +0.00%

------------------------------------------------------------
PER-QUERY RESULTS
------------------------------------------------------------
Query    AP Original    AP Expanded    Relevant  
----------------------------------------------
1        0.2809         0.2809         46        
2        0.0094         0.0094         26        
3        0.2216         0.2216         44        
4        0.0674         0.0674         8         
5        0.0162         0.0162         24        
6        0.0167         0.0167         1         
7        0.0150         0.0150         8         
8        0.0083         0.0083         18        
9        0.1396         0.1396         34        
10       0.2796         0.2796         26        
11       0.0727         0.0727         127       
12       0.0661         0.0661         13        
13       0.1280         0.1280         91        
14       0.0049         0.0049         3         
15       0.0563         0.0563         82        
16       0.0567         0.0567         26        
17       0.0414         0.0414         26        
18       0.2008         0.2008         11        
19       0.2427         0.2427         81        
20       0.0319         0.0319         144       
21       0.0836         0.0836         25        
22       0.0465         0.0465         53        
23       0.0438         0.0438         48        
24       0.2793         0.2793         52        
25       0.1575         0.1575         33        
26       0.2583         0.2583         56        
27       0.0676         0.0676         115       
28       0.2010         0.2010         60        
29       0.0781         0.0781         48        
30       0.1493         0.1493         134       
31       0.1274         0.1274         61        
32       0.1490         0.1490         117       
33       0.0421         0.0421         20        
34       0.0810         0.0810         38        
35       0.1763         0.1763         43        
37       0.1073         0.1073         40        
39       0.0807         0.0807         18        
41       0.2773         0.2773         11        
42       0.0404         0.0404         50        
43       0.0872         0.0872         13        
44       0.1110         0.1110         155       
45       0.0529         0.0529         77        
46       0.1868         0.1868         116       
49       0.0841         0.0841         34        
50       0.3016         0.3016         89        
52       0.7053         0.7053         15        
54       0.0784         0.0784         51        
55       0.8625         0.8625         18        
56       0.0485         0.0485         45        
57       0.1002         0.1002         18        
58       0.3187         0.3187         46        
61       0.0113         0.0113         11        
62       0.5986         0.5986         12        
65       0.4708         0.4708         13        
66       0.4796         0.4796         35        
67       0.1646         0.1646         32        
69       0.1760         0.1760         15        
71       0.2990         0.2990         27        
76       0.3373         0.3373         60        
79       0.2439         0.2439         11        
81       0.1620         0.1620         11        
82       0.0070         0.0070         10        
84       0.0502         0.0502         11        
90       0.0907         0.0907         70        
92       0.1055         0.1055         38        
95       0.3524         0.3524         11        
96       0.1363         0.1363         9         
97       0.5507         0.5507         6         
98       0.3095         0.3095         29        
99       0.2430         0.2430         34        
100      0.0724         0.0724         18        
101      0.1429         0.1429         1         
102      0.4578         0.4578         24        
104      0.0261         0.0261         11        
109      0.2014         0.2014         71        
111      0.5788         0.5788         6         

============================================================
END OF REPORT
============================================================
